geometry,rt60,drone_spl_db,diffuse,true_az_deg,true_el_deg,est_az_deg,est_el_deg,az_error_deg,el_error_deg,total_error_deg,seed
UCA,0.0,78.0,False,0.0,30.0,0.0,-30.0,0.0,60.0,60.0,0
UCA,0.0,78.0,False,60.0,30.0,60.0,30.0,0.0,0.0,0.0,0
UCA,0.0,78.0,False,90.0,30.0,90.0,-30.0,0.0,60.0,60.0,0
UCA,0.0,78.0,False,180.0,30.0,180.0,-30.0,0.0,60.0,60.0,0
UCA,0.0,78.0,False,270.0,30.0,270.0,-30.0,0.0,60.0,60.0,0
UCA,1.0,78.0,False,0.0,30.0,0.0,-30.0,0.0,60.0,60.0,0
UCA,1.0,78.0,False,60.0,30.0,60.0,-30.0,0.0,60.0,60.0,0
UCA,1.0,78.0,False,90.0,30.0,90.0,40.0,0.0,10.0,10.0,0
UCA,1.0,78.0,False,180.0,30.0,180.0,-40.0,0.0,70.0,70.0,0
UCA,1.0,78.0,False,270.0,30.0,270.0,40.0,0.0,10.0,10.0,0
UCA,1.0,78.0,False,60.0,20.0,65.0,-30.0,5.0,50.0,50.2312,0
UCA,1.0,78.0,False,60.0,50.0,65.0,50.0,5.0,0.0,3.2133,0
UCA,1.0,80.0,False,60.0,30.0,60.0,-30.0,0.0,60.0,60.0,0
UCA,1.0,70.0,False,60.0,30.0,60.0,-30.0,0.0,60.0,60.0,0
UCA,1.0,70.0,True,0.0,30.0,245.0,-40.0,115.0,70.0,126.9964,0
UCA,1.0,70.0,True,60.0,30.0,245.0,-40.0,175.0,70.0,169.1988,0
UCA,1.0,70.0,True,90.0,30.0,245.0,-40.0,155.0,70.0,157.3168,0
UCA,1.0,70.0,True,180.0,30.0,245.0,-40.0,65.0,70.0,92.3511,0
UCA,1.0,70.0,True,270.0,30.0,250.0,40.0,20.0,10.0,19.1262,0
CROSS,0.0,78.0,False,0.0,30.0,15.0,30.0,15.0,0.0,12.9811,0
CROSS,0.0,78.0,False,60.0,30.0,60.0,30.0,0.0,0.0,0.0,0
CROSS,0.0,78.0,False,90.0,30.0,90.0,30.0,0.0,0.0,0.0,0
CROSS,0.0,78.0,False,180.0,30.0,165.0,30.0,15.0,0.0,12.9811,0
CROSS,0.0,78.0,False,270.0,30.0,90.0,30.0,180.0,0.0,120.0,0
CROSS,1.0,78.0,False,0.0,30.0,325.0,20.0,35.0,10.0,33.1089,0
CROSS,1.0,78.0,False,60.0,30.0,60.0,30.0,0.0,0.0,0.0,0
CROSS,1.0,78.0,False,90.0,30.0,270.0,10.0,180.0,20.0,140.0,0
CROSS,1.0,78.0,False,180.0,30.0,220.0,20.0,40.0,10.0,37.3999,0
CROSS,1.0,78.0,False,270.0,30.0,90.0,20.0,180.0,10.0,130.0,0
CROSS,1.0,78.0,False,60.0,20.0,70.0,10.0,10.0,10.0,13.8923,0
CROSS,1.0,78.0,False,60.0,50.0,285.0,40.0,135.0,10.0,81.7078,0
CROSS,1.0,80.0,False,60.0,30.0,60.0,30.0,0.0,0.0,0.0,0
CROSS,1.0,70.0,False,60.0,30.0,60.0,30.0,0.0,0.0,0.0,0
CROSS,1.0,70.0,True,0.0,30.0,240.0,10.0,120.0,20.0,109.8531,0
CROSS,1.0,70.0,True,60.0,30.0,115.0,10.0,55.0,20.0,54.8296,0
CROSS,1.0,70.0,True,90.0,30.0,115.0,10.0,25.0,20.0,30.7075,0
CROSS,1.0,70.0,True,180.0,30.0,120.0,10.0,60.0,20.0,59.1189,0
CROSS,1.0,70.0,True,270.0,30.0,120.0,10.0,150.0,20.0,130.6761,0
ULA,0.0,78.0,False,0.0,30.0,15.0,30.0,15.0,0.0,12.9811,0
ULA,0.0,78.0,False,60.0,30.0,325.0,-60.0,95.0,90.0,118.0831,0
ULA,0.0,78.0,False,90.0,30.0,355.0,-90.0,95.0,120.0,120.0,0
ULA,0.0,78.0,False,180.0,30.0,165.0,30.0,15.0,0.0,12.9811,0
ULA,0.0,78.0,False,270.0,30.0,355.0,-90.0,85.0,120.0,120.0,0
ULA,1.0,78.0,False,0.0,30.0,45.0,0.0,45.0,30.0,52.2388,0
ULA,1.0,78.0,False,60.0,30.0,40.0,-60.0,20.0,90.0,91.4964,0
ULA,1.0,78.0,False,90.0,30.0,355.0,-90.0,95.0,120.0,120.0,0
ULA,1.0,78.0,False,180.0,30.0,225.0,10.0,45.0,20.0,46.3783,0
ULA,1.0,78.0,False,270.0,30.0,70.0,-90.0,160.0,120.0,120.0,0
ULA,1.0,78.0,False,60.0,20.0,70.0,10.0,10.0,10.0,13.8923,0
ULA,1.0,78.0,False,60.0,50.0,40.0,70.0,20.0,20.0,22.1144,0
ULA,1.0,80.0,False,60.0,30.0,60.0,40.0,0.0,10.0,10.0,0
ULA,1.0,70.0,False,60.0,30.0,40.0,-60.0,20.0,90.0,91.4964,0
ULA,1.0,70.0,True,0.0,30.0,250.0,-30.0,110.0,60.0,120.432,0
ULA,1.0,70.0,True,60.0,30.0,250.0,-30.0,170.0,60.0,171.3425,0
ULA,1.0,70.0,True,90.0,30.0,210.0,-70.0,120.0,100.0,128.1662,0
ULA,1.0,70.0,True,180.0,30.0,205.0,70.0,25.0,40.0,42.4138,0
ULA,1.0,70.0,True,270.0,30.0,250.0,-30.0,20.0,60.0,62.9499,0
CYLINDER,0.0,78.0,False,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0
CYLINDER,0.0,78.0,False,60.0,30.0,60.0,30.0,0.0,0.0,0.0,0
CYLINDER,0.0,78.0,False,90.0,30.0,90.0,30.0,0.0,0.0,0.0,0
CYLINDER,0.0,78.0,False,180.0,30.0,180.0,30.0,0.0,0.0,0.0,0
CYLINDER,0.0,78.0,False,270.0,30.0,270.0,30.0,0.0,0.0,0.0,0
CYLINDER,1.0,78.0,False,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0
CYLINDER,1.0,78.0,False,60.0,30.0,60.0,30.0,0.0,0.0,0.0,0
CYLINDER,1.0,78.0,False,90.0,30.0,90.0,30.0,0.0,0.0,0.0,0
CYLINDER,1.0,78.0,False,180.0,30.0,180.0,30.0,0.0,0.0,0.0,0
CYLINDER,1.0,78.0,False,270.0,30.0,270.0,30.0,0.0,0.0,0.0,0
CYLINDER,1.0,78.0,False,60.0,20.0,65.0,20.0,5.0,0.0,4.6983,0
CYLINDER,1.0,78.0,False,60.0,50.0,65.0,50.0,5.0,0.0,3.2133,0
CYLINDER,1.0,80.0,False,60.0,30.0,60.0,30.0,0.0,0.0,0.0,0
CYLINDER,1.0,70.0,False,60.0,30.0,60.0,30.0,0.0,0.0,0.0,0
CYLINDER,1.0,70.0,True,0.0,30.0,0.0,0.0,0.0,30.0,30.0,0
CYLINDER,1.0,70.0,True,60.0,30.0,160.0,10.0,100.0,20.0,93.513,0
CYLINDER,1.0,70.0,True,90.0,30.0,160.0,10.0,70.0,20.0,67.7578,0
CYLINDER,1.0,70.0,True,180.0,30.0,160.0,10.0,20.0,20.0,27.3448,0
CYLINDER,1.0,70.0,True,270.0,30.0,250.0,10.0,20.0,20.0,27.3448,0
